rule,word_d,pos_d,words_m,poss_m,word_h,pos_h
rule1026([полу] + tgr -> adv),полусидя,adv,половина,noun,сидя,tgr
rule1026([полу] + adv -> adv),полувсерьёз,adv,половина,noun,всерьёз,adv
rule1027([мимо/само] + verb + ом -> adv),самоуком,adv,сам,pron,учиться,verb
rule1027([мимо/само] + verb + ом -> adv),самоплавом,adv,сам,pron,плавать,verb
rule1027([мимо/само] + verb + ом -> adv),самокатом,adv,сам,pron,катиться,verb
rule1027([мимо/само] + verb + ом -> adv),самоходом,adv,сам,pron,ходить,verb
rule1028(в + [пол] + noun + GEN -> adv),вполдуши,adv,половина,noun,душа,noun
rule1028(в + [пол] + noun + GEN -> adv),вполуха,adv,половина,noun,ухо,noun
rule1028(в + [пол] + noun + GEN -> adv),вполноги,adv,половина,noun,нога,noun
rule1028(в + [пол] + noun + GEN -> adv),вполглаза,adv,половина,noun,глаз,noun
rule1028(в + [пол] + noun + GEN -> adv),вполпряма,adv,половина,noun,прямой,adj
rule1028(в + [пол] + noun + GEN -> adv),вполслуха,adv,половина,noun,слух,noun
rule1028(в + [пол] + noun + GEN -> adv),вполоборота,adv,половина,noun,оборот,noun
rule1028(в + [пол] + noun + GEN -> adv),вполнакала,adv,половина,noun,накал,noun
rule1028(в + [пол] + noun + GEN -> adv),в пол-лица,adv,половина,noun,лицо,noun
rule1028(в + [пол] + noun + GEN -> adv),вполоткрыта,adv,половина,noun,открытый,adj
rule1028(в + [пол] + noun + GEN -> adv),вполсыта,adv,половина,noun,сытый,adj
rule1029(в + [пол/три] + adj + а -> adv),втридорога,adv,три,num,дорогой,adj
rule961([полу/само] + verb -> verb),самоопределиться,verb,сам,pron,определиться,verb
rule961([полу/само] + verb -> verb),полускрыть,verb,половина,noun,скрыть,verb
rule961([полу/само] + verb -> verb),самовоспламениться,verb,сам,pron,воспламениться,verb
rule961([полу/само] + verb -> verb),полусгибаться,verb,половина,noun,сгибаться,verb
rule961([полу/само] + verb -> verb),самоустраниться,verb,сам,pron,устраниться,verb
rule961([полу/само] + verb -> verb),полуговорить,verb,половина,noun,говорить,verb
rule961([полу/само] + verb -> verb),полуодеть,verb,половина,noun,одеть,verb
rule961([полу/само] + verb -> verb),полуистлеть,verb,половина,noun,истлеть,verb
rule961([полу/само] + verb -> verb),самоопыляться,verb,сам,pron,опыляться,verb
rule961([полу/само] + verb -> verb),самоочищаться,verb,сам,pron,очищаться,verb
rule961([полу/само] + verb -> verb),самоликвидироваться,verb,сам,pron,ликвидироваться,verb
rule961([noun + ITFX] + verb -> verb),плодоносить,verb,плод,noun,носить,verb
rule961([noun + ITFX] + verb -> verb),трудоустроить,verb,труд,noun,устроить,verb
rule961([noun + ITFX] + verb -> verb),видоизменить,verb,вид,noun,изменить,verb
rule961([adj + ITFX] + verb -> verb),взаимодействовать,verb,взаимный,adj,действовать,verb
rule962(noun + [фицировать] -> verb),электрофицировать,verb,-фицировать,suffixoid,электро,glroot
rule962(noun + [фицировать] -> verb),электрифицировать,verb,-фицировать,suffixoid,электро,glroot
rule962(noun + [фицировать] -> verb),звукофицировать,verb,-фицировать,suffixoid,звук,noun
rule962(noun + [фицировать] -> verb),кинофицировать,verb,-фицировать,suffixoid,кино,noun
rule962(noun + [фицировать] -> verb),газифицировать,verb,-фицировать,suffixoid,газ,noun
rule962(adj + [фицировать] -> verb),интенсифицировать,verb,-фицировать,suffixoid,интенсивный,adj
rule767([noun + ITFX] + verb + н1(ый) -> adj),воздухолётный,adj,воздух,noun,лететь,verb
rule767([noun + ITFX] + verb + н1(ый) -> adj),водобойный,adj,вода,noun,бить,verb
rule767([noun + ITFX] + verb + н1(ый) -> adj),авианосный,adj,авиа-,glroot,нести,verb
rule767([noun + ITFX] + verb + н1(ый) -> adj),землеройный,adj,земля,noun,рыть,verb
rule767([noun + ITFX] + verb + н1(ый) -> adj),электропроводный,adj,электро-,glroot,проводить,verb
rule767([noun + ITFX] + verb + н1(ый) -> adj),сыромятный,adj,сыр,noun,мять,verb
rule767([noun + ITFX] + verb + н1(ый) -> adj),травоядный,adj,трава,noun,есть,verb
rule767([noun + ITFX] + verb + н1(ый) -> adj),центробежный,adj,центр,noun,бежать,verb
rule767([noun + ITFX] + verb + н1(ый) -> adj),поломойный,adj,пол,noun,мыть,verb
rule767([noun + ITFX] + verb + н1(ый) -> adj),электросварный,adj,электро-,glroot,сварить,verb
rule767([noun + ITFX] + verb + н1(ый) -> adj),глистогонный,adj,глист,noun,гнать,verb
rule767([noun + ITFX] + verb + н1(ый) -> adj),рыборазводный,adj,рыба,noun,разводить,verb
rule767([noun + ITFX] + verb + н1(ый) -> adj),огнестрельный,adj,огонь,noun,стрелять,verb
rule767([noun + ITFX] + verb + н1(ый) -> adj),хлебоприёмный,adj,хлеб,noun,принять,verb
rule767([noun + ITFX] + verb + н1(ый) -> adj),землесосный,adj,земля,noun,сосать,verb
rule767([noun + ITFX] + verb + н1(ый) -> adj),болезнетворный,adj,болезнь,noun,творить,verb
rule767([noun + ITFX] + verb + н1(ый) -> adj),кровопролитный,adj,кровь,noun,пролить,verb
rule767([noun + ITFX] + verb + н1(ый) -> adj),дружелюбный,adj,друг,noun,любить,verb
rule767([noun + ITFX] + verb + н1(ый) -> adj),бронебойный,adj,броня,noun,бить,verb
rule767([noun + ITFX] + verb + н1(ый) -> adj),ракетоносный,adj,ракета,noun,нести,verb
rule767([noun + ITFX] + verb + н1(ый) -> adj),теплопроводный,adj,тепло,noun,проводить,verb
rule767([noun + ITFX] + verb + н1(ый) -> adj),челобитный,adj,чело,noun,бить,verb
rule767([noun + ITFX] + verb + н1(ый) -> adj),рыболовный,adj,рыба,noun,ловить,verb
rule767([noun + ITFX] + verb + н1(ый) -> adj),сердобольный,adj,сердце,noun,болеть,verb
rule767([noun + ITFX] + verb + н1(ый) -> adj),шерстобитный,adj,шерсть,noun,бить,verb
rule767([noun + ITFX] + verb + н1(ый) -> adj),самодельный,adj,сам,pron,делать,verb
rule767([noun + ITFX] + verb + н1(ый) -> adj),воздуходувный,adj,воздух,noun,дуть,verb
rule767([noun + ITFX] + verb + н1(ый) -> adj),водоливный,adj,вода,noun,лить,verb
rule767([noun + ITFX] + verb + н1(ый) -> adj),китобойный,adj,кит,noun,бить,verb
rule767([noun + ITFX] + verb + н1(ый) -> adj),насекомоядный,adj,насекомое,noun,есть,verb
rule767([noun + ITFX] + verb + н1(ый) -> adj),скоротечный,adj,скорый,adj,течь,verb
rule767([noun + ITFX] + verb + н1(ый) -> adj),сладкопевный,adj,сладкий,adj,петь,verb
rule767([noun + ITFX] + verb + н1(ый) -> adj),дальновидный,adj,дальний,adj,видеть,verb
rule767([noun + ITFX] + verb + н1(ый) -> adj),пескодувный,adj,песок,noun,дуть,verb
rule767([noun + ITFX] + verb + н1(ый) -> adj),словолитный,adj,слово,noun,лить,verb
rule767([noun + ITFX] + verb + н1(ый) -> adj),сыродутный,adj,сыр,noun,дуть,verb
rule767([noun + ITFX] + verb + н1(ый) -> adj),нефтегазоносный,adj,нефть;газ,noun;noun,нести,verb
rule767([adj + ITFX] + verb + н1(ый) -> adj),самобытный,adj,сам,pron,быть,verb
rule767([adj + ITFX] + verb + н1(ый) -> adj),всеядный,adj,всё,pron,есть,verb
rule767([adj + ITFX] + verb + н1(ый) -> adj),скоротечный,adj,скорый,adj,течь,verb
rule767([adj + ITFX] + verb + н1(ый) -> adj),маломощный,adj,малый,adj,мочь,verb
rule767([adj + ITFX] + verb + н1(ый) -> adj),маломочный,adj,малый,adj,мочь,verb
rule768([noun + ITFX] + verb + тельн(ый)/ительн(ый) -> adj),бумагоделательный,adj,бумага,noun,делать,verb
rule768([noun + ITFX] + verb + тельн(ый)/ительн(ый) -> adj),ракетостроительный,adj,ракета,noun,строить,verb
rule768([noun + ITFX] + verb + тельн(ый)/ительн(ый) -> adj),железоделательный,adj,железо,noun,делать,verb
rule768([noun + ITFX] + verb + тельн(ый)/ительн(ый) -> adj),пищеварительный,adj,пища,noun,варить,verb
rule768([noun + ITFX] + verb + тельн(ый)/ительн(ый) -> adj),землеустроительный,adj,земля,noun,устроить,verb
rule768([noun + ITFX] + verb + тельн(ый)/ительн(ый) -> adj),вагоностроительный,adj,вагон,noun,строить,verb
rule768([noun + ITFX] + verb + тельн(ый)/ительн(ый) -> adj),благожелательный,adj,благо,noun,желать,verb
rule652(verb + тельн(ый)/ительн(ый) -> adj),любознательный,adj,любить,verb,знать,verb
rule769([noun + ITFX] + verb + енн(ый) -> adj),жиротопенный,adj,жир,noun,топить,verb
rule769([noun + ITFX] + verb + енн(ый) -> adj),смолокуренный,adj,смола,noun,курить,verb
rule769([noun + ITFX] + verb + енн(ый) -> adj),салотопенный,adj,сало,noun,топить,verb
rule769([noun + ITFX] + verb + енн(ый) -> adj),винокуренный,adj,вино,noun,курить,verb
rule769([noun + ITFX] + verb + лив(ый)/чив(ый)/ив(ый) -> adj),добролюбивый,adj,добро,noun,любить,verb
rule769([noun + ITFX] + verb + лив(ый)/чив(ый)/ив(ый) -> adj),самолюбивый,adj,сам,pron,любить,verb
rule769([noun + ITFX] + verb + лив(ый)/чив(ый)/ив(ый) -> adj),хладолюбивый,adj,хлад,noun,любить,verb
rule769([noun + ITFX] + verb + лив(ый)/чив(ый)/ив(ый) -> adj),слезоточивый,adj,слеза,noun,точить,verb
rule769([noun + ITFX] + verb + лив(ый)/чив(ый)/ив(ый) -> adj),медоточивый,adj,мед,noun,точить,verb
-нн(ый),самозванный,adj,сам,pron,звать,verb
-ск(ий),хлебопашеский,adj,хлеб,noun,пахать,verb
-н1(ый),злорадный,adj,зло,noun,рад,adj
rule772([adj + ITFX] + noun + 0(ый) -> adj),крупнозёрный,adj,крупный,adj,зерно,noun
rule772([adj + ITFX] + noun + 0(ый) -> adj),широкополый,adj,широкий,adj,поле,noun
rule772([adj + ITFX] + noun + 0(ый) -> adj),чернокожий,adj,чёрный,adj,кожа,noun
rule772([adj + ITFX] + noun + 0(ый) -> adj),длинношеий,adj,длинный,adj,шея,noun
rule772([adj + ITFX] + noun + 0(ый) -> adj),колючепёрый,adj,колючий,adj,перо,noun
rule772([adj + ITFX] + noun + 0(ый) -> adj),круглолицый,adj,круглый,adj,лицо,noun
rule772([adj + ITFX] + noun + 0(ый) -> adj),медногорлый,adj,медный,adj,горло,noun
rule772([adj + ITFX] + noun + 0(ый) -> adj),разноязыкий,adj,разный,adj,язык,noun
rule772([adj + ITFX] + noun + 0(ый) -> adj),звонкотрубый,adj,звонкий,adj,труба,noun
rule772([adj + ITFX] + noun + 0(ый) -> adj),синеволный,adj,синий,adj,волна,noun
rule772([adj + ITFX] + noun + 0(ый) -> adj),белоноздрый,adj,белый,adj,ноздря,noun
rule772([adj + ITFX] + noun + 0(ый) -> adj),остроребрый,adj,острый,adj,ребро,noun
rule772([adj + ITFX] + noun + 0(ый) -> adj),белозубый,adj,белый,adj,зуб,noun
rule772([adj + ITFX] + noun + 0(ый) -> adj),разноголосый,adj,разный,adj,голос,noun
rule772([adj + ITFX] + noun + 0(ый) -> adj),широкоплечий,adj,широкий,adj,плечо,noun
rule772([adj + ITFX] + noun + 0(ый) -> adj),милосердый,adj,милый,adj,сердце,noun
rule772([adj + ITFX] + noun + 0(ый) -> adj),зеленокосый,adj,зелёный,adj,коса,noun
rule772([adj + ITFX] + noun + 0(ый) -> adj),чернобровый,adj,чёрный,adj,бровь,noun
rule772([noun + ITFX] + noun + 0(ый) -> adj),огнедымый,adj,огонь,noun,дым,noun
rule772([noun + ITFX] + noun + 0(ый) -> adj),клинолистый,adj,клин,noun,лист,noun
rule772([noun + ITFX] + noun + 0(ый) -> adj),ластоногий,adj,ласты,noun,нога,noun
rule772([noun + ITFX] + noun + 0(ый) -> adj),рукокрылый,adj,рука,noun,крыло,noun
rule772([noun + ITFX] + noun + 0(ый) -> adj),козлоногий,adj,козёл,noun,нога,noun
rule772([noun + ITFX] + noun + 0(ый) -> adj),листоносый,adj,лист,noun,носый,noun
rule772([num + ITFX] + noun + 0(ый) -> adj),пятипалый,adj,пять,num,палец,noun
rule772([num + ITFX] + noun + 0(ый) -> adj),стоустый,adj,сто,num,уста,noun
rule772([num + ITFX] + noun + 0(ый) -> adj),многоголосый,adj,много,num,голос,noun
rule772([num + ITFX] + noun + 0(ый) -> adj),двупалый,adj,два,num,палец,noun
rule772([num + ITFX] + noun + 0(ый) -> adj),тысячевёрстый,adj,тысяча,num,верста,noun
rule772([num + ITFX] + noun + 0(ый) -> adj),двурогий,adj,два,num,рог,noun
rule772([num + ITFX] + noun + 0(ый) -> adj),четвероногий,adj,четверо,num,нога,noun
rule752(noun + 0(ый) -> adj),пучеглазый,adj,пучить,verb,глаз,noun
rule773([adv] + verb + 0(ий) -> adj),мимоезжий,adj,мимо,adv,ездить,verb
rule773([adv] + verb + 0(ий) -> adj),мимохожий,adj,мимо,adv,ходить,verb
rule773([adv] + verb + 0(ий) -> adj),малоезжий,adj,мало,adv,ездить,verb
rule776([adv] + part -> adj),долгоиграющий,adj,долго,adv,играющий,part
rule776([adv] + part -> adj),малозначащий,adj,мало,adv,значащий,part
rule776([adv] + part -> adj),дорогостоящий,adj,дорого,adv,стоящий,part
rule776([adv] + part -> adj),вперёдсмотрящий,adj,вперёд,adv,смотрящий,part
rule776([adv] + part -> adj),вышеуказанный,adj,выше,comp,указанный,part
rule776([adv] + part -> adj),густонаселенный,adj,густо,adv,населенный,part
rule776([adv] + part -> adj),инакочувствующий,adj,инако,adv,чувствующий,part
rule776([adv] + part -> adj),нижеследующий,adj,ниже,comp,следующий,part
rule776([adv] + part -> adj),близлежащий,adj,близ,adv,лежащий,part
rule776([adv] + part -> adj),слаборазвитый,adj,слабо,adv,развитый,part
rule776([adv] + part -> adj),вездепроходящий,adj,везде,adv,проходящий,part
rule776([adv] + part -> adj),низкооплачиваемый,adj,низко,adv,оплачиваемый,part
rule776([adv] + part -> adj),инакопишущий,adj,инако,adv,пишущий,part
rule776([adv] + part -> adj),всеобъемлющий,adj,всё,pron,объемлющий,part
rule776([adv] + part -> adj),скоропортящийся,adj,скоро,adv,портящийся,part
rule776([adv] + part -> adj),быстротекущий,adj,быстро,adv,текущий,part
rule776([adv] + part -> adj),вышестоящий,adj,выше,comp,стоящий,part
rule776([adv] + part -> adj),инакомыслящий,adj,инако,adv,мыслящий,part
rule776([adv] + part -> adj),быстрозамороженный,adj,быстро,adv,замороженный,part
rule776([adv] + part -> adj),всевидящий,adj,всё,pron,видящий,part
rule776([adv] + adj -> adj),трудновыполнимый,adj,трудно,adv,выполнимый,adj
rule776([adv] + adj -> adj),труднодоступный,adj,трудно,adv,доступный,adj
rule776([adv] + adj -> adj),малоподвижный,adj,мало,adv,подвижный,adj
rule776([adv] + adj -> adj),остродефицитный,adj,остро,adv,дефицитный,adj
rule776([adv] + adj -> adj),узколичный,adj,узко,adv,личный,adj
rule776([adv] + adj -> adj),глубоконациональный,adj,глубоко,adv,национальный,adj
rule776([adv] + adj -> adj),вечномёрзлый,adj,вечно,adv,мёрзлый,adj
rule776([adv] + adj -> adj),малознакомый,adj,мало,adv,знакомый,adj
rule754([noun + ITFX] + adj -> adj),геоцентрический,adj,гео-,glroot,центрический,adj
rule754([noun + ITFX] + adj -> adj),пожароопасный,adj,пожар,noun,опасный,adj
rule754([noun + ITFX] + adj -> adj),телеизмерительный,adj,теле,glroot,измерительный,adj
rule754([noun + ITFX] + adj -> adj),физико-математический,adj,физика,noun,математический,adj
rule754([noun + ITFX] + adj -> adj),нефтеналивной,adj,нефть,noun,наливной,adj
rule754([noun + ITFX] + adj -> adj),панславянский,adj,пан,glroot,славянский,adj
rule754([noun + ITFX] + adj -> adj),виброударный,adj,вибро,glroot,ударный,adj
rule754([noun + ITFX] + adj -> adj),электромеханический,adj,электро,glroot,механический,adj
rule754([noun + ITFX] + adj -> adj),биоэлектрический,adj,био-,glroot,электрический,adj
rule754([noun + ITFX] + adj -> adj),телегеничный,adj,теле-,glroot,-геничный,suffixoid
rule754([noun + ITFX] + adj -> adj),бутылкообразный,adj,бутылка,noun,-образный,suffixoid
rule754([noun + ITFX] + adj -> adj),камнедробильный,adj,камень,noun,дробильный,adj
rule754([noun + ITFX] + adj -> adj),звуко-буквенный,adj,звук,noun,буквенный,adj
rule754([noun + ITFX] + adj -> adj),водонепроницаемый,adj,вода,noun,непроницаемый,adj
rule754([noun + ITFX] + adj -> adj),энергоёмкий,adj,энерго,glroot,ёмкий,adj
rule754([noun + ITFX] + adj -> adj),танкодоступный,adj,танк,noun,доступный,adj
rule754([noun + ITFX] + adj -> adj),воронкообразный,adj,воронка,noun,-образный,suffixoid
rule754([noun + ITFX] + adj -> adj),трудоёмкий,adj,труд,noun,ёмкий,adj
rule754([noun + ITFX] + adj -> adj),паровпускной,adj,пар,noun,впускной,adj
rule754([noun + ITFX] + adj -> adj),радиогенный,adj,радио-,glroot,-генный,suffixoid
rule754([noun + ITFX] + adj -> adj),засухоустойчивый,adj,засуха,noun,устойчивый,adj
rule754([noun + ITFX] + adj -> adj),паросиловой,adj,пар,noun,силовой,adj
rule754([noun + ITFX] + adj -> adj),радиочастотный,adj,радио,glroot,частотный,adj
rule754([noun + ITFX] + adj -> adj),обезьяноподобный,adj,обезьяна,noun,подобный,adj
rule754([noun + ITFX] + adj -> adj),теневыносливый,adj,тень,noun,выносливый,adj
rule754([noun + ITFX] + adj -> adj),платёжеспособный,adj,платёж,noun,способный,adj
rule754([noun + ITFX] + adj -> adj),товаропассажирский,adj,товар,noun,пассажирский,adj
rule754([noun + ITFX] + adj -> adj),любвеобильный,adj,любовь,noun,обильный,adj
rule754([noun + ITFX] + adj -> adj),шелкопрядильный,adj,шёлк,noun,прядильный,adj
rule754([noun + ITFX] + adj -> adj),котообразный,adj,кот,noun,-образный,suffixoid
rule754([noun + ITFX] + adj -> adj),термостойкий,adj,термо,glroot,стойкий,adj
rule754([noun + ITFX] + adj -> adj),политехнический,adj,поли,glroot,технический,adj
rule754([noun + ITFX] + adj -> adj),пусконаладочный,adj,пуск,noun,наладочный,adj
rule754([noun + ITFX] + adj -> adj),биостимулирующий,adj,био-,glroot,стимулирующий,adj
rule754([noun + ITFX] + adj -> adj),шерстоткацкий,adj,шерсть,noun,ткацкий,adj
rule754([noun + ITFX] + adj -> adj),сигарообразный,adj,сигара,noun,-образный,suffixoid
rule754([noun + ITFX] + adj -> adj),мужеподобный,adj,муж,noun,подобный,adj
rule754([noun + ITFX] + adj -> adj),хлопкоуборочный,adj,хлопок,noun,уборочный,adj
rule754([noun + ITFX] + adj -> adj),виброустойчивый,adj,вибро,glroot,устойчивый,adj
rule754([noun + ITFX] + adj -> adj),гелиоцентрический,adj,гелио-,glroot,центрический,adj
rule754([noun + ITFX] + adj -> adj),гидроаккумулирующий,adj,гидро-,glroot,аккумулирующий,adj
rule754([noun + ITFX] + adj -> adj),турбореактивный,adj,турбо,glroot,реактивный,adj
rule754([noun + ITFX] + adj -> adj),хлебозаготовительный,adj,хлеб,noun,заготовительный,adj
rule754([noun + ITFX] + adj -> adj),психогенный,adj,психо-,glroot,-генный,suffixoid
rule754([noun + ITFX] + adj -> adj),чугунолитейный,adj,чугун,noun,литейный,adj
rule754([noun + ITFX] + adj -> adj),сейсмоактивный,adj,сейсмо,glroot,активный,adj
rule754([noun + ITFX] + adj -> adj),термоэлектрический,adj,термо,glroot,электрический,adj
rule754([noun + ITFX] + adj -> adj),авиахимический,adj,авиа,glroot,химический,adj
rule754([noun + ITFX] + adj -> adj),монометаллический,adj,моно-,glroot,металлический,adj
rule754([noun + ITFX] + adj -> adj),радиоустойчивый,adj,радио,glroot,устойчивый,adj
rule754([noun + ITFX] + adj -> adj),микропористый,adj,микро-,glroot,пористый,adj
rule754([noun + ITFX] + adj -> adj),радиоуправляемый,adj,радио,glroot,управляемый,adj
rule754([noun + ITFX] + adj -> adj),фотогеничный,adj,фото-,glroot,-геничный,suffixoid
rule754([noun + ITFX] + adj -> adj),тазобедренный,adj,таз,noun,бедренный,adj
rule754([noun + ITFX] + adj -> adj),лесопатрульный,adj,лес,noun,патрульный,adj
rule754([noun + ITFX] + adj -> adj),радиоуглеродный,adj,радио,glroot,углеродный,adj
rule754([noun + ITFX] + adj -> adj),механосборочный,adj,механо,glroot,сборочный,adj
rule754([noun + ITFX] + adj -> adj),наукообразный,adj,наука,noun,-образный,suffixoid
rule754([noun + ITFX] + adj -> adj),полиметаллический,adj,поли-,glroot,металлический,adj
rule754([noun + ITFX] + adj -> adj),гальваноударный,adj,гальвано,glroot,ударный,adj
rule754([noun + ITFX] + adj -> adj),термоядерный,adj,термо,glroot,ядерный,adj
rule754([noun + ITFX] + adj -> adj),мясо-молочный,adj,мясо,noun,молочный,adj
rule754([noun + ITFX] + adj -> adj),газонефтяной,adj,газ,noun,нефтяной,adj
rule754([noun + ITFX] + adj -> adj),поливалентный,adj,поли-,glroot,-валентный,suffixoid
rule754([noun + ITFX] + adj -> adj),жаропрочный,adj,жар,noun,прочный,adj
rule754([noun + ITFX] + adj -> adj),гидроэнергетический,adj,гидро-,glroot,энергетический,adj
rule754([noun + ITFX] + adj -> adj),зубоврачебный,adj,зуб,noun,врачебный,adj
rule754([noun + ITFX] + adj -> adj),грузоподъёмный,adj,груз,noun,подъёмный,adj
rule754([adj + ITFX] + adj -> adj),общепартийный,adj,общий,adj,партийный,adj
rule754([adj + ITFX] + adj -> adj),обоюдоострый,adj,обоюдный,adj,острый,adj
rule754([adj + ITFX] + adj -> adj),нижнеднестровский,adj,нижний,adj,днестровский,adj
rule754([adj + ITFX] + adj -> adj),бело-рыжий,adj,белый,adj,рыжий,adj
rule754([adj + ITFX] + adj -> adj),всеблагой,adj,всё,pron,благой,adj
rule754([adj + ITFX] + adj -> adj),светло-зелёный,adj,светлый,adj,зелёный,adj
rule754([adj + ITFX] + adj -> adj),средневозрастной,adj,средний,adj,возрастной,adj
rule754([adj + ITFX] + adj -> adj),единообразный,adj,единый,adj,-образный,suffixoid
rule754([adj + ITFX] + adj -> adj),достоуважаемый,adj,достойный,adj,уважаемый,adj
rule754([adj + ITFX] + adj -> adj),общеобязательный,adj,общий,adj,обязательный,adj
rule754([adj + ITFX] + adj -> adj),угольно-чёрный,adj,угольный,adj,чёрный,adj
rule754([adj + ITFX] + adj -> adj),новоприезжий,adj,новый,adj,приезжий,adj
rule754([adj + ITFX] + adj -> adj),греко-латинский,adj,греческий,adj,латинский,adj
rule754([adj + ITFX] + adj -> adj),достопамятный,adj,достойный,adj,памятный,adj
rule754([adj + ITFX] + adj -> adj),плосковязальный,adj,плоский,adj,вязальный,adj
rule754([adj + ITFX] + adj -> adj),круглогодичный,adj,круглый,adj,годичный,adj
rule754([adj + ITFX] + adj -> adj),всесильный,adj,всё,pron,сильный,adj
